SK_ID_CURR,TARGET,INCOME_TOTAL,CREDIT,ANNUITY,GOODS_PRICE,INCOME_TYPE,HOUR_APPR,ORGANIZATION_TYPE
100002,1,202500,406597.5,24700.5,351000,Working,10,Business Entity Type 3
100003,0,270000,1293502.5,35698.5,1129500,State servant,11,School
100004,0,67500,135000,6750,135000,Working,9,Government
100006,0,135000,312682.5,29686.5,297000,Working,17,Business Entity Type 3
100007,0,121500,513000,21865.5,513000,Working,11,Religion
100008,0,99000,490495.5,27517.5,454500,State servant,16,Other
100009,0,171000,1560726,41301,1395000,Commercial associate,16,Business Entity Type 3
100010,0,360000,1530000,42075,1530000,State servant,16,Other
100011,0,112500,1019610,33826.5,913500,Pensioner,14,XNA
100012,0,135000,405000,20250,405000,Working,8,Electricity
100014,0,112500,652500,21177,652500,Working,15,Medicine
100015,0,38419.155,148365,10678.5,135000,Pensioner,7,XNA
100016,0,67500,80865,5881.5,67500,Working,10,Business Entity Type 2
100017,0,225000,918468,28966.5,697500,Working,13,Self-employed
100018,0,189000,773680.5,32778,679500,Working,9,Transport: type 2
100019,0,157500,299772,20160,247500,Working,6,Business Entity Type 2
100020,0,108000,509602.5,26149.5,387000,Working,12,Government
100021,0,81000,270000,13500,270000,Working,10,Construction
100022,0,112500,157500,7875,157500,Working,13,Housing
100023,0,90000,544491,17563.5,454500,State servant,12,Kindergarten
100024,0,135000,427500,21375,427500,Working,13,Self-employed
100025,0,202500,1132573.5,37561.5,927000,Commercial associate,9,Trade: type 7
100026,0,450000,497520,32521.5,450000,Working,6,Self-employed
100027,0,83250,239850,23850,225000,Pensioner,12,XNA
100029,0,135000,247500,12703.5,247500,Working,14,Business Entity Type 3
100030,0,90000,225000,11074.5,225000,Working,8,Business Entity Type 3
100031,1,112500,979992,27076.5,702000,Working,9,Business Entity Type 3
100032,0,112500,327024,23827.5,270000,Working,10,Industry: type 11
100033,0,270000,790830,57676.5,675000,State servant,11,Military
100034,0,90000,180000,9000,180000,Working,16,Business Entity Type 3
100035,0,292500,665892,24592.5,477000,Commercial associate,13,Business Entity Type 3
100036,0,112500,512064,25033.5,360000,Working,12,Services
100037,0,90000,199008,20893.5,180000,Working,11,Business Entity Type 2
100039,0,360000,733315.5,39069,679500,Commercial associate,10,Self-employed
100040,0,135000,1125000,32895,1125000,State servant,14,Security Ministries
100041,0,112500,450000,44509.5,450000,Working,19,Self-employed
100043,0,198000,641173.5,23157,553500,Commercial associate,13,Other
100044,0,121500,454500,15151.5,454500,Working,10,Transport: type 4
100045,0,99000,247275,17338.5,225000,Pensioner,11,XNA
100046,0,180000,540000,27000,540000,Working,8,Business Entity Type 3
100047,1,202500,1193580,35028,855000,Commercial associate,9,Business Entity Type 3
100048,0,202500,604152,29196,540000,Working,12,Industry: type 1
100049,1,135000,288873,16258.5,238500,Working,11,Self-employed
100050,0,108000,746280,42970.5,675000,Pensioner,9,XNA
100051,0,202500,661702.5,48280.5,598500,Working,12,Business Entity Type 3
100052,0,90000,180000,9000,180000,Working,10,Self-employed
100053,0,202500,305221.5,17649,252000,Pensioner,8,XNA
100054,0,99000,260640,26838,225000,Working,16,Business Entity Type 3
100055,0,130500,1350000,37255.5,1350000,State servant,10,Government
100056,0,360000,1506816,49927.5,1350000,Working,10,Transport: type 2
100058,0,54000,135000,6750,135000,State servant,9,School
100059,0,540000,675000,34596,675000,Commercial associate,10,Services
100060,0,76500,454500,14661,454500,Working,10,Emergency
100061,0,225000,314055,16164,238500,Commercial associate,3,Self-employed
100062,0,81000,675000,32472,675000,Pensioner,17,XNA
100063,0,180000,837427.5,45558,666000,Working,15,Medicine
100064,0,67500,298728,15381,202500,Pensioner,9,XNA
100068,0,81000,247500,12375,247500,Working,14,Security
100069,0,360000,640458,27265.5,517500,Working,11,Transport: type 4
100070,0,540000,1227901.5,46899,1129500,Working,14,Business Entity Type 3
100071,0,180000,1663987.5,86989.5,1588500,Commercial associate,12,Industry: type 11
100072,0,180000,1080000,44118,1080000,Working,9,Trade: type 2
100073,0,324000,1130760,40189.5,810000,Pensioner,9,XNA
100075,0,112500,95940,10462.5,90000,Working,14,University
100076,0,180000,315000,9679.5,315000,Commercial associate,12,Transport: type 3
100077,0,180000,1256400,40657.5,900000,Commercial associate,12,Police
100078,0,180000,1035000,43983,1035000,State servant,9,Government
100079,0,225000,270000,13500,270000,Working,9,Construction
100080,0,157500,450000,22500,450000,Commercial associate,10,Kindergarten
100081,0,180000,450000,21109.5,450000,Commercial associate,9,Other
100082,0,180000,450000,21109.5,450000,Commercial associate,12,Business Entity Type 3
100083,0,103500,573628.5,24435,463500,Working,18,Business Entity Type 3
